,country,year,gender,gold,silver,bronze,total
686,Cuba,1996,male,6,6,4,16
687,Poland,1996,male,6,3,3,12
688,France,1996,male,5,3,7,15
689,Greece,1996,male,4,3,0,7
690,Hungary,1996,male,4,2,5,11
691,Türkiye,1996,male,4,1,1,6
692,Ukraine,1996,male,4,0,7,11
693,Kazakhstan,1996,male,3,4,4,11
694,Australia,1996,male,3,2,7,12
695,Switzerland,1996,male,3,2,0,5
696,Czechia,1996,male,3,1,2,6
697,New Zealand,1996,male,3,0,0,3
698,Republic of Korea,1996,male,2,8,2,12
699,Bulgaria,1996,male,2,5,3,10
700,Japan,1996,male,2,2,2,6
701,Norway,1996,male,2,1,1,4
702,Algeria,1996,male,2,0,1,3
703,Canada,1996,male,1,4,3,8
704,Spain,1996,male,1,4,2,7
705,Kenya,1996,male,1,3,3,7
706,Brazil,1996,male,1,1,4,6
707,Democratic People's Republic of Korea,1996,male,1,1,2,4
708,Belgium,1996,male,1,1,1,3
709,Islamic Republic of Iran,1996,male,1,1,1,3
710,Slovakia,1996,male,1,1,1,3
711,Armenia,1996,male,1,1,0,2
712,Denmark,1996,male,1,1,0,2
713,South Africa,1996,male,1,1,0,2
714,Netherlands,1996,male,1,0,3,4
715,Thailand,1996,male,1,0,1,2
716,Burundi,1996,male,1,0,0,1
717,Ecuador,1996,male,1,0,0,1
718,Ethiopia,1996,male,1,0,0,1
719,Belarus,1996,male,0,5,6,11
720,Great Britain,1996,male,0,5,4,9
721,Romania,1996,male,0,2,3,5
722,Finland,1996,male,0,2,1,3
723,Namibia,1996,male,0,2,0,2
724,Argentina,1996,male,0,1,1,2
725,Austria,1996,male,0,1,1,2
726,Sweden,1996,male,0,1,1,2
727,Uzbekistan,1996,male,0,1,1,2
728,Azerbaijan,1996,male,0,1,0,1
729,Jamaica,1996,male,0,1,0,1
730,Latvia,1996,male,0,1,0,1
731,Philippines,1996,male,0,1,0,1
732,Slovenia,1996,male,0,1,0,1
733,Tonga,1996,male,0,1,0,1
734,Zambia,1996,male,0,1,0,1
735,Georgia,1996,male,0,0,2,2
736,Morocco,1996,male,0,0,2,2
737,Trinidad and Tobago,1996,male,0,0,2,2
738,India,1996,male,0,0,1,1
739,Israel,1996,male,0,0,1,1
740,Malaysia,1996,male,0,0,1,1
741,Mexico,1996,male,0,0,1,1
742,Mongolia,1996,male,0,0,1,1
743,Nigeria,1996,male,0,0,1,1
744,Puerto Rico,1996,male,0,0,1,1
745,Republic of Moldova,1996,male,0,0,1,1
746,Tunisia,1996,male,0,0,1,1
747,Uganda,1996,male,0,0,1,1
748,Russian Federation,2000,male,17,10,19,46
749,United States,2000,male,15,13,13,41
750,Cuba,2000,male,8,6,4,18
751,People's Republic of China,2000,male,8,4,5,17
752,France,2000,male,6,6,5,17
753,Great Britain,2000,male,6,4,1,11
754,Germany,2000,male,5,10,8,23
755,Australia,2000,male,4,10,6,20
756,Italy,2000,male,4,3,6,13
757,Greece,2000,male,4,3,1,8
758,Netherlands,2000,male,4,1,2,7
759,Republic of Korea,2000,male,3,6,3,12
760,Bulgaria,2000,male,3,5,2,10
761,Japan,2000,male,3,2,0,5
762,Poland,2000,male,3,1,1,5
763,Sweden,2000,male,3,1,1,5
764,Ethiopia,2000,male,3,0,2,5
765,Islamic Republic of Iran,2000,male,3,0,1,4
766,Türkiye,2000,male,3,0,1,4
767,Kazakhstan,2000,male,2,4,0,6
768,Kenya,2000,male,2,3,1,6
769,Hungary,2000,male,2,2,1,5
770,Spain,2000,male,2,2,0,4
771,Canada,2000,male,2,1,3,6
772,Romania,2000,male,2,1,2,5
773,Norway,2000,male,2,0,1,3
774,Ukraine,2000,male,1,5,6,12
775,Czechia,2000,male,1,3,2,6
776,Uzbekistan,2000,male,1,1,2,4
777,Finland,2000,male,1,1,1,3
778,Latvia,2000,male,1,1,1,3
779,Estonia,2000,male,1,0,2,3
780,New Zealand,2000,male,1,0,2,3
781,Azerbaijan,2000,male,1,0,1,2
782,Thailand,2000,male,1,0,1,2
783,Austria,2000,male,1,0,0,1
784,Croatia,2000,male,1,0,0,1
785,Lithuania,2000,male,1,0,0,1
786,Slovenia,2000,male,1,0,0,1
787,Brazil,2000,male,0,3,0,3
788,Mexico,2000,male,0,2,3,5
789,Switzerland,2000,male,0,2,1,3
790,Denmark,2000,male,0,2,0,2
791,Belarus,2000,male,0,1,8,9
792,Algeria,2000,male,0,1,3,4
793,Morocco,2000,male,0,1,3,4
794,South Africa,2000,male,0,1,2,3
795,Kingdom of Saudi Arabia,2000,male,0,1,1,2
796,Republic of Moldova,2000,male,0,1,1,2
797,Slovakia,2000,male,0,1,1,2
798,Trinidad and Tobago,2000,male,0,1,1,2
799,Argentina,2000,male,0,1,0,1
800,Belgium,2000,male,0,1,0,1
801,Indonesia,2000,male,0,1,0,1
802,Uruguay,2000,male,0,1,0,1
803,Georgia,2000,male,0,0,6,6
804,Democratic People's Republic of Korea,2000,male,0,0,2,2
805,Armenia,2000,male,0,0,1,1
806,Barbados,2000,male,0,0,1,1
807,Chinese Taipei,2000,male,0,0,1,1
808,Israel,2000,male,0,0,1,1
809,Jamaica,2000,male,0,0,1,1
810,Kuwait,2000,male,0,0,1,1
811,Kyrgyzstan,2000,male,0,0,1,1
812,North Macedonia,2000,male,0,0,1,1
813,Portugal,2000,male,0,0,1,1
814,Qatar,2000,male,0,0,1,1
815,United States,2004,male,18,20,9,47
816,Russian Federation,2004,male,15,9,19,43
817,People's Republic of China,2004,male,9,5,5,19
818,Italy,2004,male,7,2,4,13
819,Japan,2004,male,6,4,5,15
820,Cuba,2004,male,6,3,5,14
821,Australia,2004,male,5,4,6,15
822,Republic of Korea,2004,male,4,6,5,15
823,France,2004,male,4,2,4,10
824,Great Britain,2004,male,4,2,4,10
825,Germany,2004,male,3,2,9,14
826,Ukraine,2004,male,3,2,2,7
827,Norway,2004,male,3,0,0,3
828,Spain,2004,male,2,6,3,11
829,Türkiye,2004,male,2,3,4,9
830,Greece,2004,male,2,2,2,6
831,Islamic Republic of Iran,2004,male,2,2,2,6
832,Georgia,2004,male,2,2,0,4
833,Uzbekistan,2004,male,2,1,2,5
834,Canada,2004,male,2,1,1,4
835,Sweden,2004,male,2,1,0,3
836,Brazil,2004,male,2,0,3,5
837,Morocco,2004,male,2,0,0,2
838,Kazakhstan,2004,male,1,4,3,8
839,Belarus,2004,male,1,3,2,6
840,Hungary,2004,male,1,3,2,6
841,Netherlands,2004,male,1,2,3,6
842,Kenya,2004,male,1,2,2,5
843,Ethiopia,2004,male,1,2,0,3
844,New Zealand,2004,male,1,2,0,3
845,Bulgaria,2004,male,1,1,6,8
846,Egypt,2004,male,1,1,3,5
847,Thailand,2004,male,1,1,1,3
848,Chinese Taipei,2004,male,1,1,0,2
849,Lithuania,2004,male,1,1,0,2
850,Azerbaijan,2004,male,1,0,2,3
851,Czechia,2004,male,1,0,2,3
852,Chile,2004,male,1,0,1,2
853,Indonesia,2004,male,1,0,1,2
854,Israel,2004,male,1,0,1,2
855,Poland,2004,male,1,0,1,2
856,Switzerland,2004,male,1,0,1,2
857,Dominican Republic,2004,male,1,0,0,1
858,United Arab Emirates,2004,male,1,0,0,1
859,Romania,2004,male,0,3,3,6
860,Austria,2004,male,0,3,1,4
861,Latvia,2004,male,0,3,0,3
862,Portugal,2004,male,0,2,1,3
863,Slovakia,2004,male,0,2,1,3
864,South Africa,2004,male,0,2,1,3
865,Finland,2004,male,0,2,0,2
866,Estonia,2004,male,0,1,2,3
867,Croatia,2004,male,0,1,1,2
868,Democratic People's Republic of Korea,2004,male,0,1,1,2
869,Denmark,2004,male,0,1,1,2
870,India,2004,male,0,1,0,1
871,Jamaica,2004,male,0,1,0,1
872,Mexico,2004,male,0,1,0,1
873,Belgium,2004,male,0,0,1,1
874,Eritrea,2004,male,0,0,1,1
875,Mongolia,2004,male,0,0,1,1
876,Slovenia,2004,male,0,0,1,1
877,Syrian Arab Republic,2004,male,0,0,1,1
878,Trinidad and Tobago,2004,male,0,0,1,1
879,Venezuela,2004,male,0,0,1,1
880,People's Republic of China,2008,male,19,9,8,36
881,United States,2008,male,13,12,17,42
882,Russian Federation,2008,male,13,3,14,30
883,Great Britain,2008,male,7,6,6,19
884,Republic of Korea,2008,male,6,6,2,14
885,Germany,2008,male,6,3,3,12
886,Italy,2008,male,4,4,3,11
887,Japan,2008,male,4,4,2,10
888,Ukraine,2008,male,4,2,6,12
889,Kenya,2008,male,4,1,4,9
890,France,2008,male,3,12,12,27
891,Australia,2008,male,3,4,6,13
892,Spain,2008,male,3,3,1,7
893,Georgia,2008,male,3,2,1,6
894,Poland,2008,male,3,1,1,5
895,Cuba,2008,male,2,4,13,19
896,Norway,2008,male,2,3,0,5
897,Ethiopia,2008,male,2,1,1,4
898,Mongolia,2008,male,2,1,0,3
899,Jamaica,2008,male,2,0,0,2
900,Canada,2008,male,1,4,3,8
901,Hungary,2008,male,1,4,0,5
902,Belarus,2008,male,1,3,2,6
903,Kazakhstan,2008,male,1,2,3,6
904,New Zealand,2008,male,1,2,2,5
905,Azerbaijan,2008,male,1,1,3,5
906,Switzerland,2008,male,1,1,2,4
907,Czechia,2008,male,1,1,1,3
908,Latvia,2008,male,1,1,1,3
909,Slovenia,2008,male,1,1,1,3
910,Dominican Republic,2008,male,1,1,0,2
911,Slovakia,2008,male,1,1,0,2
912,Thailand,2008,male,1,1,0,2
913,Brazil,2008,male,1,0,3,4
914,Türkiye,2008,male,1,0,3,4
915,India,2008,male,1,0,2,3
916,Netherlands,2008,male,1,0,2,3
917,Islamic Republic of Iran,2008,male,1,0,1,2
918,Estonia,2008,male,1,0,0,1
919,Mexico,2008,male,1,0,0,1
920,Panama,2008,male,1,0,0,1
921,Portugal,2008,male,1,0,0,1
922,Tunisia,2008,male,1,0,0,1
923,Lithuania,2008,male,0,2,2,4
924,Sweden,2008,male,0,2,0,2
925,Armenia,2008,male,0,1,4,5
926,Ireland,2008,male,0,1,2,3
927,Kyrgyzstan,2008,male,0,1,2,3
928,Uzbekistan,2008,male,0,1,2,3
929,Serbia,2008,male,0,1,1,2
930,Tajikistan,2008,male,0,1,1,2
931,Algeria,2008,male,0,1,0,1
932,Austria,2008,male,0,1,0,1
933,Chile,2008,male,0,1,0,1
934,Colombia,2008,male,0,1,0,1
935,Croatia,2008,male,0,1,0,1
936,Ecuador,2008,male,0,1,0,1
937,Greece,2008,male,0,1,0,1
938,Malaysia,2008,male,0,1,0,1
939,Morocco,2008,male,0,1,0,1
940,South Africa,2008,male,0,1,0,1
941,Sudan,2008,male,0,1,0,1
942,Trinidad and Tobago,2008,male,0,1,0,1
943,Vietnam,2008,male,0,1,0,1
944,Bulgaria,2008,male,0,0,3,3
945,Chinese Taipei,2008,male,0,0,2,2
946,Finland,2008,male,0,0,2,2
947,Indonesia,2008,male,0,0,2,2
948,Romania,2008,male,0,0,2,2
949,Afghanistan,2008,male,0,0,1,1
950,Democratic People's Republic of Korea,2008,male,0,0,1,1
951,Egypt,2008,male,0,0,1,1
952,Israel,2008,male,0,0,1,1
953,Mauritius,2008,male,0,0,1,1
954,Nigeria,2008,male,0,0,1,1
955,Republic of Moldova,2008,male,0,0,1,1
956,The Bahamas,2008,male,0,0,1,1
957,Togo,2008,male,0,0,1,1
958,United States,2012,male,14,10,11,35
959,Great Britain,2012,male,13,5,8,26
960,People's Republic of China,2012,male,12,9,9,30
961,Russian Federation,2012,male,9,7,11,27
962,Republic of Korea,2012,male,7,7,3,17
963,Islamic Republic of Iran,2012,male,7,5,1,13
964,France,2012,male,5,3,4,12
965,Hungary,2012,male,4,2,4,10
966,Cuba,2012,male,4,1,6,11
967,Germany,2012,male,3,10,6,19
968,Italy,2012,male,3,6,5,14
969,Japan,2012,male,3,5,10,18
970,Ukraine,2012,male,3,2,3,8
971,Australia,2012,male,2,4,1,7
972,Jamaica,2012,male,2,2,2,6
973,Czechia,2012,male,2,2,1,5
974,Azerbaijan,2012,male,2,1,4,7
975,Kazakhstan,2012,male,2,1,4,7
976,Kenya,2012,male,2,1,4,7
977,Poland,2012,male,2,1,3,6
978,Netherlands,2012,male,2,1,2,5
979,South Africa,2012,male,2,1,0,3
980,Democratic People's Republic of Korea,2012,male,2,0,2,4
981,Spain,2012,male,1,4,1,6
982,Brazil,2012,male,1,2,4,7
983,Georgia,2012,male,1,2,3,6
984,Denmark,2012,male,1,2,0,3
985,Switzerland,2012,male,1,2,0,3
986,Norway,2012,male,1,1,1,3
987,Dominican Republic,2012,male,1,1,0,2
988,Argentina,2012,male,1,0,1,2
989,New Zealand,2012,male,1,0,1,2
990,Trinidad and Tobago,2012,male,1,0,1,2
991,Tunisia,2012,male,1,0,1,2
992,Türkiye,2012,male,1,0,1,2
993,Algeria,2012,male,1,0,0,1
994,Belarus,2012,male,1,0,0,1
995,Croatia,2012,male,1,0,0,1
996,Grenada,2012,male,1,0,0,1
997,Latvia,2012,male,1,0,0,1
998,Romania,2012,male,1,0,0,1
999,Uganda,2012,male,1,0,0,1
1000,Venezuela,2012,male,1,0,0,1
1001,Canada,2012,male,0,3,5,8
1002,Colombia,2012,male,0,2,2,4
1003,India,2012,male,0,2,2,4
1004,Mongolia,2012,male,0,2,2,4
1005,Egypt,2012,male,0,2,1,3
1006,Ireland,2012,male,0,1,4,5
1007,Sweden,2012,male,0,1,3,4
1008,Armenia,2012,male,0,1,1,2
1009,Estonia,2012,male,0,1,1,2
1010,Ethiopia,2012,male,0,1,1,2
1011,Indonesia,2012,male,0,1,1,2
1012,Puerto Rico,2012,male,0,1,1,2
1013,Qatar,2012,male,0,1,1,2
1014,Slovenia,2012,male,0,1,1,2
1015,Belgium,2012,male,0,1,0,1
1016,Botswana,2012,male,0,1,0,1
1017,Cyprus,2012,male,0,1,0,1
1018,Finland,2012,male,0,1,0,1
1019,Gabon,2012,male,0,1,0,1
1020,Guatemala,2012,male,0,1,0,1
1021,Malaysia,2012,male,0,1,0,1
1022,Thailand,2012,male,0,1,0,1
1023,Uzbekistan,2012,male,0,0,3,3
1024,Lithuania,2012,male,0,0,2,2
1025,Afghanistan,2012,male,0,0,1,1
1026,Bulgaria,2012,male,0,0,1,1
1027,Greece,2012,male,0,0,1,1
1028,Kuwait,2012,male,0,0,1,1
1029,Morocco,2012,male,0,0,1,1
1030,Serbia,2012,male,0,0,1,1
1031,Slovakia,2012,male,0,0,1,1
1032,Vietnam,2012,male,0,0,1,1
1033,Great Britain,2016,male,14,8,7,29
1034,United States,2016,male,13,15,17,45
1035,People's Republic of China,2016,male,9,7,7,23
1036,Russian Federation,2016,male,8,4,13,25
1037,Italy,2016,male,7,2,3,12
1038,Germany,2016,male,7,0,5,12
1039,Cuba,2016,male,5,1,3,9
1040,Japan,2016,male,4,5,10,19
1041,Uzbekistan,2016,male,4,2,7,13
1042,France,2016,male,3,8,10,21
1043,Kenya,2016,male,3,3,0,6
1044,Republic of Korea,2016,male,3,2,6,11
1045,Australia,2016,male,3,2,1,6
1046,Islamic Republic of Iran,2016,male,3,1,3,7
1047,Jamaica,2016,male,3,0,0,3
1048,Brazil,2016,male,2,4,4,10
1049,Ukraine,2016,male,2,4,1,7
1050,Kazakhstan,2016,male,2,3,4,9
1051,Netherlands,2016,male,2,3,0,5
1052,Georgia,2016,male,2,1,4,7
1053,Switzerland,2016,male,2,0,0,2
1054,Azerbaijan,2016,male,1,6,7,14
1055,South Africa,2016,male,1,4,1,6
1056,Türkiye,2016,male,1,3,3,7
1057,Armenia,2016,male,1,3,0,4
1058,Belarus,2016,male,1,2,2,5
1059,Czechia,2016,male,1,2,2,5
1060,Croatia,2016,male,1,2,1,4
1061,Hungary,2016,male,1,2,1,4
1062,Canada,2016,male,1,1,3,5
1063,Spain,2016,male,1,1,3,5
1064,Colombia,2016,male,1,1,2,4
1065,Belgium,2016,male,1,1,1,3
1066,Democratic People's Republic of Korea,2016,male,1,1,1,3
1067,Greece,2016,male,1,1,0,2
1068,Slovakia,2016,male,1,1,0,2
1069,Vietnam,2016,male,1,1,0,2
1070,New Zealand,2016,male,1,0,3,4
1071,Independent Olympic Athletes,2016,male,1,0,1,2
1072,Côte d'Ivoire,2016,male,1,0,0,1
1073,Jordan,2016,male,1,0,0,1
1074,Serbia,2016,male,1,0,0,1
1075,Singapore,2016,male,1,0,0,1
1076,Tajikistan,2016,male,1,0,0,1
1077,Sweden,2016,male,0,3,0,3
1078,Denmark,2016,male,0,2,2,4
1079,Algeria,2016,male,0,2,0,2
1080,Slovenia,2016,male,0,2,0,2
1081,Ethiopia,2016,male,0,1,2,3
1082,Mexico,2016,male,0,1,2,3
1083,Poland,2016,male,0,1,2,3
1084,Malaysia,2016,male,0,1,1,2
1085,Thailand,2016,male,0,1,1,2
1086,Argentina,2016,male,0,1,0,1
1087,Grenada,2016,male,0,1,0,1
1088,Indonesia,2016,male,0,1,0,1
1089,Niger,2016,male,0,1,0,1
1090,Qatar,2016,male,0,1,0,1
1091,Venezuela,2016,male,0,1,0,1
1092,Dominican Republic,2016,male,0,0,1,1
1093,Egypt,2016,male,0,0,1,1
1094,Israel,2016,male,0,0,1,1
1095,Lithuania,2016,male,0,0,1,1
1096,Mongolia,2016,male,0,0,1,1
1097,Morocco,2016,male,0,0,1,1
1098,Norway,2016,male,0,0,1,1
1099,Romania,2016,male,0,0,1,1
1100,Trinidad and Tobago,2016,male,0,0,1,1
1101,Tunisia,2016,male,0,0,1,1
1102,United Arab Emirates,2016,male,0,0,1,1
1103,United States,2020,male,12,13,9,34
1104,People's Republic of China,2020,male,11,10,7,28
1105,Great Britain,2020,male,10,8,9,27
1106,Japan,2020,male,10,4,6,20
1107,ROC,2020,male,9,5,13,27
1108,Cuba,2020,male,6,2,4,12
1109,Hungary,2020,male,5,6,2,13
1110,Italy,2020,male,5,5,7,17
1111,Australia,2020,male,4,2,6,12
1112,Netherlands,2020,male,3,5,2,10
1113,Czechia,2020,male,3,3,2,8
1114,France,2020,male,3,3,2,8
1115,Brazil,2020,male,3,2,6,11
1116,Islamic Republic of Iran,2020,male,3,2,2,7
1117,Norway,2020,male,3,2,1,6
1118,Uzbekistan,2020,male,3,0,2,5
1119,Georgia,2020,male,2,5,1,8
1120,Germany,2020,male,2,3,6,11
1121,Kenya,2020,male,2,2,1,5
1122,Sweden,2020,male,2,2,0,4
1123,Canada,2020,male,2,1,2,5
1124,Poland,2020,male,2,0,3,5
1125,Greece,2020,male,2,0,1,3
1126,Slovenia,2020,male,2,0,1,3
1127,Qatar,2020,male,2,0,0,2
1128,Ukraine,2020,male,1,3,3,7
1129,Spain,2020,male,1,2,3,6
1130,Republic of Korea,2020,male,1,1,6,8
1131,Türkiye,2020,male,1,1,6,8
1132,Belarus,2020,male,1,1,1,3
1133,India,2020,male,1,1,1,3
1134,Uganda,2020,male,1,1,1,3
1135,Denmark,2020,male,1,1,0,2
1136,Ethiopia,2020,male,1,1,0,2
1137,Tunisia,2020,male,1,1,0,2
1138,Portugal,2020,male,1,0,2,3
1139,Jamaica,2020,male,1,0,1,2
1140,Ecuador,2020,male,1,0,0,1
1141,"Hong Kong, China",2020,male,1,0,0,1
1142,Israel,2020,male,1,0,0,1
1143,Morocco,2020,male,1,0,0,1
1144,The Bahamas,2020,male,1,0,0,1
1145,Venezuela,2020,male,0,3,0,3
1146,Armenia,2020,male,0,2,2,4
1147,Azerbaijan,2020,male,0,2,2,4
1148,Croatia,2020,male,0,2,2,4
1149,Chinese Taipei,2020,male,0,2,1,3
1150,Colombia,2020,male,0,2,1,3
1151,Slovakia,2020,male,0,2,0,2
1152,New Zealand,2020,male,0,1,4,5
1153,Belgium,2020,male,0,1,2,3
1154,Egypt,2020,male,0,1,2,3
1155,Indonesia,2020,male,0,1,2,3
1156,Serbia,2020,male,0,1,2,3
1157,Switzerland,2020,male,0,1,2,3
1158,Jordan,2020,male,0,1,1,2
1159,Mongolia,2020,male,0,1,1,2
1160,Philippines,2020,male,0,1,1,2
1161,Dominican Republic,2020,male,0,1,0,1
1162,Kingdom of Saudi Arabia,2020,male,0,1,0,1
1163,Kyrgyzstan,2020,male,0,1,0,1
1164,Malaysia,2020,male,0,1,0,1
1165,North Macedonia,2020,male,0,1,0,1
1166,Kazakhstan,2020,male,0,0,6,6
1167,Austria,2020,male,0,0,3,3
1168,Burkina Faso,2020,male,0,0,1,1
1169,Finland,2020,male,0,0,1,1
1170,Ghana,2020,male,0,0,1,1
1171,Grenada,2020,male,0,0,1,1
1172,Ireland,2020,male,0,0,1,1
1173,Kuwait,2020,male,0,0,1,1
1174,Latvia,2020,male,0,0,1,1
1175,Republic of Moldova,2020,male,0,0,1,1
1176,San Marino,2020,male,0,0,1,1
1177,Syrian Arab Republic,2020,male,0,0,1,1
1178,United States,1896,female,17,16,18,51
1179,People's Republic of China,1896,female,15,13,7,35
1180,Japan,1896,female,13,6,8,27
1181,Australia,1896,female,7,2,7,16
1182,Germany,1896,female,5,2,3,10
1183,ROC,1896,female,4,10,6,20
1184,Great Britain,1896,female,4,6,8,18
1185,Netherlands,1896,female,4,3,9,16
1186,Canada,1896,female,3,3,4,10
1187,Switzerland,1896,female,3,2,3,8
1188,New Zealand,1896,female,3,1,2,6
1189,Brazil,1896,female,2,3,1,6
1190,Kenya,1896,female,2,2,1,5
1191,Bulgaria,1896,female,2,1,2,5
1192,Jamaica,1896,female,2,1,2,5
1193,Serbia,1896,female,2,0,1,3
1194,Belgium,1896,female,2,0,0,2
1195,Kosovo,1896,female,2,0,0,2
1196,France,1896,female,1,4,3,8
1197,Italy,1896,female,1,3,7,11
1198,Spain,1896,female,1,3,1,5
1199,Republic of Korea,1896,female,1,2,1,4
1200,South Africa,1896,female,1,2,0,3
1201,Chinese Taipei,1896,female,1,1,4,6
1202,Türkiye,1896,female,1,1,3,5
1203,Austria,1896,female,1,1,2,4
1204,Poland,1896,female,1,1,1,3
1205,Ecuador,1896,female,1,1,0,2
1206,Philippines,1896,female,1,1,0,2
1207,Slovenia,1896,female,1,1,0,2
1208,Denmark,1896,female,1,0,3,4
1209,Egypt,1896,female,1,0,2,3
1210,Israel,1896,female,1,0,1,2
1211,Thailand,1896,female,1,0,1,2
1212,Bermuda,1896,female,1,0,0,1
1213,Croatia,1896,female,1,0,0,1
1214,Ireland,1896,female,1,0,0,1
1215,Puerto Rico,1896,female,1,0,0,1
1216,Slovakia,1896,female,1,0,0,1
1217,The Bahamas,1896,female,1,0,0,1
1218,Uganda,1896,female,1,0,0,1
1219,Venezuela,1896,female,1,0,0,1
1220,Ukraine,1896,female,0,2,6,8
1221,"Hong Kong, China",1896,female,0,2,2,4
1222,Colombia,1896,female,0,2,0,2
1223,Sweden,1896,female,0,2,0,2
1224,Azerbaijan,1896,female,0,1,2,3
1225,Belarus,1896,female,0,1,2,3
1226,India,1896,female,0,1,2,3
1227,Cuba,1896,female,0,1,1,2
1228,Dominican Republic,1896,female,0,1,1,2
1229,Hungary,1896,female,0,1,1,2
1230,Kyrgyzstan,1896,female,0,1,1,2
1231,Nigeria,1896,female,0,1,1,2
1232,Bahrain,1896,female,0,1,0,1
1233,Czechia,1896,female,0,1,0,1
1234,Lithuania,1896,female,0,1,0,1
1235,Namibia,1896,female,0,1,0,1
1236,Portugal,1896,female,0,1,0,1
1237,Romania,1896,female,0,1,0,1
1238,Turkmenistan,1896,female,0,1,0,1
1239,Ethiopia,1896,female,0,0,2,2
1240,Kazakhstan,1896,female,0,0,2,2
1241,Mongolia,1896,female,0,0,2,2
1242,Côte d'Ivoire,1896,female,0,0,1,1
1243,Estonia,1896,female,0,0,1,1
1244,Finland,1896,female,0,0,1,1
1245,Indonesia,1896,female,0,0,1,1
1246,Mexico,1896,female,0,0,1,1
1247,San Marino,1896,female,0,0,1,1
1248,United States,1900,female,1,0,1,2
1249,Great Britain,1900,female,1,0,0,1
1250,France,1900,female,0,1,1,2
1251,Switzerland,1900,female,0,1,0,1
1252,Bohemia,1900,female,0,0,1,1
1253,United States,1904,female,2,2,2,6
1254,Great Britain,1908,female,4,3,3,10
1255,Germany,1908,female,0,1,0,1
1256,Sweden,1908,female,0,0,1,1
1257,Australasia,1912,female,1,1,0,2
1258,Sweden,1912,female,1,1,0,2
1259,Great Britain,1912,female,1,0,3,4
1260,France,1912,female,1,0,0,1
1261,Denmark,1912,female,0,1,0,1
1262,Germany,1912,female,0,1,0,1
1263,Norway,1912,female,0,0,1,1
1264,United States,1920,female,3,3,4,10
1265,Sweden,1920,female,1,1,1,3
1266,France,1920,female,1,1,0,2
1267,Denmark,1920,female,1,0,0,1
1268,Great Britain,1920,female,0,2,1,3
1269,United States,1924,female,6,5,4,15
1270,Great Britain,1924,female,1,3,2,6
1271,Denmark,1924,female,1,0,1,2
1272,France,1924,female,0,1,0,1
1273,Sweden,1924,female,0,0,1,1
1274,United States,1928,female,5,4,3,12
1275,Germany,1928,female,3,0,3,6
1276,Netherlands,1928,female,1,3,0,4
1277,Canada,1928,female,1,1,1,3
1278,Poland,1928,female,1,0,0,1
1279,Great Britain,1928,female,0,3,2,5
1280,Japan,1928,female,0,1,0,1
1281,Sweden,1928,female,0,0,3,3
1282,United States,1932,female,9,7,4,20
1283,Poland,1932,female,1,1,1,3
1284,Australia,1932,female,1,1,0,2
1285,Austria,1932,female,1,0,0,1
1286,Canada,1932,female,0,1,1,2
1287,Germany,1932,female,0,1,1,2
1288,Great Britain,1932,female,0,1,1,2
1289,Japan,1932,female,0,1,0,1
1290,Netherlands,1932,female,0,1,0,1
1291,South Africa,1932,female,0,0,2,2
1292,Denmark,1932,female,0,0,1,1
1293,Hungary,1932,female,0,0,1,1
1294,United States,1936,female,3,2,3,8
1295,Netherlands,1936,female,3,1,0,4
1296,Germany,1936,female,2,4,5,11
1297,Hungary,1936,female,2,0,0,2
1298,Italy,1936,female,1,0,0,1
1299,Japan,1936,female,1,0,0,1
1300,Poland,1936,female,0,2,1,3
1301,Denmark,1936,female,0,1,1,2
1302,Argentina,1936,female,0,1,0,1
1303,Great Britain,1936,female,0,1,0,1
1304,Austria,1936,female,0,0,1,1
1305,Canada,1936,female,0,0,1,1
1306,United States,1948,female,4,4,2,10
1307,Netherlands,1948,female,4,1,1,6
1308,Denmark,1948,female,3,2,2,7
1309,France,1948,female,2,0,2,4
1310,Hungary,1948,female,2,0,2,4
1311,Finland,1948,female,1,1,0,2
1312,Austria,1948,female,1,0,3,4
1313,Great Britain,1948,female,0,4,2,6
1314,Italy,1948,female,0,2,0,2
1315,Australia,1948,female,0,1,3,4
1316,Argentina,1948,female,0,1,0,1
1317,Ireland,1948,female,0,0,1,1
1318,Sweden,1948,female,0,0,1,1
1319,Soviet Union,1952,female,5,9,7,21
1320,Hungary,1952,female,5,3,5,13
1321,Australia,1952,female,3,0,1,4
1322,United States,1952,female,2,1,3,6
1323,South Africa,1952,female,2,1,0,3
1324,New Zealand,1952,female,1,0,1,2
1325,Czechoslovakia,1952,female,1,0,0,1
1326,Finland,1952,female,1,0,0,1
1327,Italy,1952,female,1,0,0,1
1328,Netherlands,1952,female,0,3,0,3
1329,Great Britain,1952,female,0,1,2,3
1330,Denmark,1952,female,0,1,1,2
1331,Germany,1952,female,0,1,1,2
1332,Austria,1952,female,0,1,0,1
1333,France,1952,female,0,1,0,1
1334,Soviet Union,1956,female,6,6,5,17
1335,Australia,1956,female,5,2,4,11
1336,United States,1956,female,4,5,3,12
1337,Hungary,1956,female,3,2,1,6
1338,Great Britain,1956,female,2,1,1,4
1339,Germany,1956,female,1,4,2,7
1340,Czechoslovakia,1956,female,1,1,0,2
1341,Poland,1956,female,1,0,0,1
1342,Romania,1956,female,0,1,1,2
1343,Chile,1956,female,0,1,0,1
1344,Canada,1956,female,0,0,1,1
1345,Denmark,1956,female,0,0,1,1
1346,France,1956,female,0,0,1,1
